order_id,order_date,origin,destination,distance_km,weight_kg,transport_mode,transport_cost,delivery_time_hr,expected_time_hr,delayed
ORD0038,2026-01-30,Jaipur,Pune,335,1471.0,Road,51.59,5.56,7.59,0
ORD0039,2026-03-11,Jaipur,Mumbai,1115,337.9,Rail,50.0,19.32,20.15,0
ORD0040,2026-04-04,Surat,Jaipur,770,422.9,Road,50.0,17.15,15.5,0
ORD0041,2026-02-10,Surat,Nagpur,796,739.5,Road,92.83,14.19,15.97,0
ORD0042,2026-02-09,Ahmedabad,Nashik,905,1010.7,Road,89.98,18.85,17.95,0
ORD0043,2026-04-02,Surat,Nagpur,447,1385.0,Rail,50.0,10.97,9.88,0
ORD0044,2026-03-30,Mumbai,Ahmedabad,277,585.8,Road,50.0,7.48,6.54,1
ORD0045,2026-02-23,Ahmedabad,Surat,174,2346.3,Road,50.0,2.74,4.66,0
ORD0046,2026-04-24,Surat,Jaipur,1123,708.1,Road,113.57,21.42,21.92,0
ORD0047,2026-01-17,Ahmedabad,Mumbai,601,1354.3,Rail,50.0,14.11,12.25,1
ORD0048,2026-01-15,Jaipur,Indore,960,310.5,Road,93.23,19.4,18.95,0
ORD0049,2026-04-26,Surat,Nashik,1086,1930.1,Road,102.06,20.06,21.25,0
ORD0050,2026-02-22,Pune,Mumbai,701,1020.0,Rail,50.0,12.52,13.78,0
ORD0051,2026-04-16,Nagpur,Ahmedabad,501,2467.9,Rail,57.88,11.77,10.71,0
ORD0052,2026-03-12,Mumbai,Ahmedabad,615,1746.6,Road,50.0,12.65,12.68,0
ORD0053,2026-01-06,Nagpur,Indore,575,824.6,Air,57.77,1.9,3.15,0
ORD0054,2026-04-11,Surat,Indore,951,355.4,Air,130.35,3.64,3.9,0
ORD0055,2026-02-04,Ahmedabad,Jaipur,112,678.0,Road,50.0,4.59,3.54,1
ORD0056,2026-01-01,Jaipur,Ahmedabad,86,224.0,Road,50.0,1.0,3.06,0
ORD0057,2026-01-14,Pune,Mumbai,977,2326.7,Rail,50.12,20.01,18.03,0
ORD0058,2026-03-31,Mumbai,Surat,684,1612.0,Rail,50.0,11.69,13.52,0
ORD0059,2026-01-27,Nashik,Mumbai,875,2452.5,Road,94.79,16.84,17.41,0
ORD0060,2026-01-21,Indore,Nagpur,540,320.1,Road,52.96,9.38,11.32,0
ORD0061,2026-01-31,Pune,Surat,721,448.3,Air,108.29,1.76,3.44,0
ORD0062,2026-01-18,Ahmedabad,Nagpur,256,1320.0,Road,50.0,10.57,6.15,1
ORD0063,2026-04-11,Nashik,Indore,421,1127.0,Road,50.0,9.44,9.15,0
ORD0064,2026-02-08,Pune,Jaipur,753,186.5,Road,53.58,18.62,15.19,1
ORD0065,2026-01-24,Nashik,Ahmedabad,866,1655.1,Road,96.31,17.65,17.25,0
ORD0066,2026-02-13,Nagpur,Ahmedabad,669,1330.6,Rail,50.0,13.93,13.29,0
ORD0067,2026-01-10,Ahmedabad,Surat,975,854.7,Rail,50.84,19.48,18.0,0
ORD0068,2026-01-21,Ahmedabad,Pune,626,853.3,Rail,50.0,10.44,12.63,0
ORD0069,2026-02-23,Nashik,Jaipur,252,1542.0,Road,59.72,1.98,6.08,0
ORD0070,2026-03-24,Nagpur,Surat,943,1793.0,Road,100.4,18.68,18.65,0
ORD0071,2026-04-07,Ahmedabad,Surat,263,498.2,Rail,50.0,7.05,7.05,0
ORD0072,2026-02-23,Surat,Indore,643,1042.2,Road,79.68,13.61,13.19,0
ORD0073,2026-04-30,Pune,Indore,282,2277.0,Road,50.0,5.39,6.63,0
ORD0074,2026-01-11,Surat,Ahmedabad,95,684.8,Rail,50.0,4.43,4.46,0
ORD0075,2026-03-05,Surat,Indore,145,979.9,Road,50.0,5.32,4.14,1
ORD0076,2026-03-02,Surat,Jaipur,494,2282.9,Road,50.0,8.0,10.48,0
ORD0077,2026-03-14,Mumbai,Nagpur,1107,1614.0,Road,101.86,23.45,21.63,0
ORD0078,2026-02-06,Surat,Indore,550,1536.3,Road,58.25,10.91,11.5,0
ORD0079,2026-03-16,Ahmedabad,Jaipur,774,1246.0,Rail,50.0,12.72,14.91,0
ORD0080,2026-01-14,Surat,Nagpur,163,1857.8,Road,50.0,3.69,4.46,0
ORD0081,2026-03-02,Jaipur,Mumbai,402,1861.0,Rail,50.0,7.28,9.18,0
ORD0082,2026-04-29,Jaipur,Surat,1060,1215.9,Air,166.81,3.85,4.12,0
ORD0083,2026-02-14,Pune,Ahmedabad,978,2319.3,Rail,57.42,16.63,18.05,0
ORD0084,2026-03-27,Mumbai,Jaipur,934,1956.9,Rail,50.8,17.31,17.37,0
ORD0085,2026-04-02,Pune,Indore,776,2159.5,Road,84.57,15.31,15.61,0
ORD0086,2026-03-22,Nashik,Surat,763,670.4,Rail,50.0,18.25,14.74,1
ORD0087,2026-02-23,Jaipur,Ahmedabad,524,759.6,Rail,50.0,10.97,11.06,0
ORD0088,2026-04-30,Surat,Nagpur,677,811.3,Road,50.0,14.25,13.81,0
ORD0089,2026-03-08,Nagpur,Mumbai,1105,1292.6,Road,108.73,22.49,21.59,0
ORD0090,2026-03-18,Nashik,Mumbai,1158,923.9,Road,93.14,20.51,22.55,0
ORD0091,2026-01-26,Nashik,Indore,1084,664.2,Road,65.35,21.26,21.21,0
ORD0092,2026-02-05,Ahmedabad,Jaipur,108,679.3,Road,50.0,6.27,3.46,1
ORD0093,2026-02-26,Pune,Indore,957,1152.1,Road,83.03,19.88,18.9,0
ORD0094,2026-01-13,Pune,Jaipur,437,1667.0,Air,97.2,2.82,2.87,0
ORD0095,2026-04-05,Indore,Jaipur,195,198.6,Road,50.0,2.97,5.05,0
ORD0096,2026-01-14,Mumbai,Nashik,1034,1022.8,Road,100.73,18.22,20.3,0
ORD0097,2026-02-02,Jaipur,Nagpur,546,104.0,Road,50.0,10.17,11.43,0
ORD0098,2026-02-21,Mumbai,Nagpur,539,1973.4,Rail,50.0,12.36,11.29,0
ORD0099,2026-04-14,Indore,Nagpur,845,647.8,Road,62.28,16.64,16.86,0
ORD0100,2026-01-06,Pune,Ahmedabad,756,431.7,Air,109.04,4.38,3.51,1
ORD0101,2026-02-03,Pune,Mumbai,774,679.9,Road,71.06,12.49,15.57,0
ORD0102,2026-01-20,Surat,Ahmedabad,592,1955.0,Rail,50.0,11.82,12.11,0
ORD0103,2026-02-05,Indore,Ahmedabad,1182,967.7,Rail,61.4,22.34,21.18,0
ORD0104,2026-02-08,Ahmedabad,Pune,791,287.5,Road,62.29,13.83,15.88,0
ORD0105,2026-04-04,Ahmedabad,Surat,873,1872.6,Road,85.59,19.03,17.37,0
ORD0106,2026-01-21,Pune,Surat,147,1317.5,Air,65.56,2.18,2.29,0
ORD0107,2026-03-28,Jaipur,Ahmedabad,222,2253.5,Rail,50.0,5.21,6.42,0
ORD0108,2026-02-05,Mumbai,Nagpur,227,1692.7,Rail,50.0,7.41,6.49,1
ORD0109,2026-04-02,Surat,Indore,364,1565.8,Road,55.78,8.91,8.12,0
ORD0110,2026-04-29,Nagpur,Nashik,883,1106.3,Road,84.73,16.73,17.55,0
ORD0111,2026-02-01,Nashik,Nagpur,185,2235.2,Road,50.0,5.43,4.86,0
ORD0112,2026-04-14,Surat,Pune,1110,2290.2,Road,108.44,17.28,21.68,0
ORD0113,2026-04-04,Nagpur,Ahmedabad,659,1880.1,Rail,50.0,14.94,13.14,1
ORD0114,2026-04-06,Indore,Surat,1044,339.7,Road,113.64,22.35,20.48,0
ORD0115,2026-02-16,Indore,Nagpur,885,2230.2,Road,98.82,21.21,17.59,1
ORD0116,2026-04-23,Nashik,Mumbai,724,1222.3,Road,69.04,14.98,14.66,0
ORD0117,2026-03-12,Pune,Nashik,846,914.7,Air,119.11,1.66,3.69,0
ORD0118,2026-01-25,Nashik,Indore,615,545.8,Road,58.9,11.93,12.68,0
ORD0119,2026-02-07,Nagpur,Mumbai,1154,1666.0,Road,105.43,20.12,22.48,0
ORD0120,2026-04-19,Surat,Nashik,945,2463.0,Air,166.13,2.09,3.89,0
ORD0121,2026-01-10,Nashik,Indore,699,332.7,Rail,50.0,12.7,13.75,0
ORD0122,2026-04-13,Nagpur,Pune,199,1502.1,Rail,50.0,4.81,6.06,0
ORD0123,2026-02-16,Indore,Mumbai,945,596.4,Air,110.0,4.9,3.89,1
ORD0124,2026-01-22,Pune,Jaipur,771,1092.6,Road,85.98,15.76,15.52,0
ORD0125,2026-01-09,Ahmedabad,Indore,460,1374.0,Road,50.0,7.29,9.86,0
ORD0126,2026-03-04,Indore,Mumbai,447,1277.5,Road,50.0,9.89,9.63,0
ORD0127,2026-01-20,Pune,Nashik,1146,1256.9,Air,148.85,5.07,4.29,1
ORD0128,2026-01-15,Indore,Pune,505,2300.4,Road,60.2,12.47,10.68,1
ORD0129,2026-04-10,Nagpur,Ahmedabad,289,2472.6,Rail,50.0,3.53,7.45,0
ORD0130,2026-01-07,Surat,Indore,706,921.8,Rail,50.0,15.21,13.86,0
ORD0131,2026-04-16,Pune,Surat,1114,1151.2,Road,98.53,20.35,21.75,0
ORD0132,2026-01-16,Nagpur,Mumbai,973,465.6,Road,73.5,20.08,19.19,0
ORD0133,2026-03-08,Nashik,Surat,596,1683.9,Road,50.0,13.33,12.34,0
ORD0134,2026-04-12,Pune,Mumbai,1184,196.6,Road,96.03,23.12,23.03,0
ORD0135,2026-03-12,Nashik,Pune,1141,979.2,Rail,63.48,20.84,20.55,0
ORD0136,2026-02-20,Nagpur,Surat,450,1653.0,Road,50.0,9.82,9.68,0
ORD0137,2026-01-20,Mumbai,Surat,827,1673.2,Road,97.64,15.76,16.54,0
ORD0138,2026-01-30,Surat,Jaipur,921,1702.8,Road,95.94,17.58,18.25,0
ORD0139,2026-03-31,Pune,Surat,1099,586.1,Road,70.77,18.59,21.48,0
ORD0140,2026-02-08,Pune,Nashik,151,2442.7,Road,50.0,4.13,4.25,0
ORD0141,2026-03-26,Ahmedabad,Jaipur,763,1165.5,Air,126.56,2.98,3.53,0
ORD0142,2026-02-10,Nagpur,Jaipur,990,686.1,Air,137.77,3.35,3.98,0
ORD0143,2026-03-18,Mumbai,Surat,936,1930.2,Road,92.94,18.34,18.52,0
ORD0144,2026-03-12,Jaipur,Nashik,597,1084.0,Road,50.0,12.94,12.35,0
ORD0145,2026-01-14,Mumbai,Nashik,456,2014.0,Rail,50.0,9.77,10.02,0
ORD0146,2026-01-24,Nashik,Nagpur,400,469.5,Road,54.04,11.56,8.77,1
ORD0147,2026-03-27,Ahmedabad,Mumbai,234,1997.8,Road,50.0,5.48,5.75,0
ORD0148,2026-02-20,Ahmedabad,Surat,254,1425.2,Road,50.0,7.25,6.12,1
ORD0149,2026-01-22,Jaipur,Mumbai,658,328.5,Rail,50.0,14.95,13.12,1
ORD0150,2026-03-22,Pune,Nashik,492,948.0,Rail,50.0,8.96,10.57,0
ORD0151,2026-04-20,Jaipur,Nashik,918,2023.3,Road,91.12,18.0,18.19,0
ORD0152,2026-03-06,Nashik,Mumbai,424,262.0,Road,50.0,8.46,9.21,0
ORD0153,2026-03-08,Jaipur,Mumbai,810,2075.5,Road,70.57,13.84,16.23,0
ORD0154,2026-01-12,Nagpur,Jaipur,128,1046.8,Rail,50.0,5.04,4.97,0
ORD0155,2026-04-02,Nagpur,Indore,600,983.0,Road,65.18,11.77,12.41,0
ORD0156,2026-01-22,Nashik,Mumbai,261,2075.5,Road,50.0,7.67,6.25,1
ORD0157,2026-02-26,Pune,Nagpur,520,2200.2,Air,92.16,1.0,3.04,0
ORD0158,2026-03-30,Jaipur,Ahmedabad,362,1459.4,Road,50.0,12.83,8.08,1
ORD0159,2026-02-11,Nagpur,Mumbai,753,1266.9,Road,52.4,13.91,15.19,0
ORD0160,2026-02-02,Pune,Nagpur,925,1352.6,Road,94.33,18.54,18.32,0
